GroupID	x	y	z	group_mHI	mass_select	radius_select
0	52104.383	79033.15	137240.0	172227820000.0	1	1
1	118539.664	65669.875	194496.83	144475590000.0	1	1
2	40141.758	46890.72	147957.5	117778145000.0	1	1
3	135942.47	31929.697	32333.105	104450750000.0	1	1
4	101909.82	21407.7	137475.97	136246810000.0	1	1
6	177766.44	77747.15	1126.1403	211548050000.0	1	1
7	83544.59	142774.6	152662.28	88427760000.0	1	1
8	59558.164	9446.169	97155.66	137520450000.0	1	1
9	106026.125	4034.5503	27995.428	172557120000.0	1	1
10	49044.383	48373.93	62107.06	143865950000.0	1	1
11	99997.65	201815.84	32008.156	143832290000.0	1	1
12	17224.07	140023.64	99012.38	163610030000.0	1	0
13	49900.453	28904.666	177750.17	162164650000.0	1	1
14	54870.48	47841.527	5405.3057	108193440000.0	1	1
15	43395.793	88826.234	81985.38	43771630000.0	1	1
17	149503.77	179300.78	89183.61	114063560000.0	1	1
19	203660.5	103225.8	188482.03	230212830000.0	1	0
20	177492.27	28873.646	158736.66	121741380000.0	1	0
21	116211.09	64345.97	35845.07	157259350000.0	1	0
22	92183.69	30716.375	6796.5557	88894340000.0	1	1
23	46394.01	48655.367	151390.05	63006140000.0	0	1
24	53484.402	177471.75	106737.336	140870010000.0	1	0
25	47858.06	40400.03	158852.94	120496830000.0	1	1
26	78965.945	126201.516	197485.55	129243450000.0	1	0
28	159956.89	126573.625	165794.23	151881020000.0	1	1
29	44594.086	186853.06	101072.0	136997680000.0	1	0
30	79833.72	72973.73	49297.29	108367410000.0	1	1
31	59616.89	127174.85	69216.266	79214630000.0	1	1
32	97486.56	26613.723	142137.17	121178550000.0	0	1
33	2555.4617	90334.086	181623.06	85999260000.0	1	0
34	149675.0	134052.38	60828.13	79798740000.0	1	1
36	54901.586	137094.84	31716.938	42165460000.0	1	1
37	171805.88	67189.93	166348.88	125913840000.0	1	1
38	204994.55	1081.5936	143079.98	72376520000.0	1	0
39	7812.032	173140.19	82416.99	113792614000.0	1	0
40	60154.734	46107.176	29656.797	88778040000.0	1	0
41	93485.695	1650.5718	52373.99	58335740000.0	1	1
43	55158.645	137424.36	51252.0	46678696000.0	1	0
46	54054.75	65163.883	204139.62	141418070000.0	1	0
47	168829.45	175498.44	105649.15	86098880000.0	1	0
48	104353.8	90883.086	110615.516	74704290000.0	1	0
49	90334.06	152818.83	61147.426	119573810000.0	1	0
51	85559.97	135351.97	197523.52	44451300000.0	1	0
52	72002.06	176895.1	50178.816	156545960000.0	1	0
53	41770.44	140411.22	165660.02	56027095000.0	1	0
54	124902.6	57909.906	26523.244	86307330000.0	1	0
55	51579.004	61920.668	15997.892	115588210000.0	1	0
56	96378.93	106355.13	81683.41	71679620000.0	1	0
58	135659.94	135146.12	78578.23	124430970000.0	1	0
60	71944.73	108535.86	62221.074	112870740000.0	1	0
63	54667.766	38686.977	165334.4	80654524000.0	1	0
64	129593.62	99285.23	50664.3	105245500000.0	1	0
65	169445.77	114736.12	156060.84	83350920000.0	1	0
66	146771.56	88799.31	4919.0386	73405680000.0	1	0
67	52111.28	143856.56	79985.48	81119790000.0	1	0
68	62145.918	15773.725	127235.68	71751670000.0	1	0
69	87653.96	163560.5	9331.195	141180600000.0	1	0
71	41651.13	21484.81	50779.523	130567520000.0	1	0
72	187988.88	71274.17	172342.95	73649710000.0	1	0
74	138050.38	47460.312	161635.11	62716895000.0	1	0
77	204526.55	196476.12	201986.86	97560480000.0	1	0
78	17291.816	182546.0	56807.22	113850760000.0	1	0
79	125875.67	180110.17	70878.2	162550710000.0	1	0
